Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,119.4054,-105.3236,-90.0,bottom
C2,10u,C_0805_2012Metric,182.2094,-121.6152,0.0,bottom
C3,10u,C_0805_2012Metric,157.8508,-95.5802,0.0,bottom
C4,0.1u,C_0402_1005Metric,135.0264,-89.3318,-90.0,bottom
C5,0.1u,C_0402_1005Metric,185.0644,-89.1058,-90.0,bottom
C6,0.1u,C_0402_1005Metric,135.0264,-138.9888,-90.0,bottom
C7,0.1u,C_0402_1005Metric,184.531,-138.684,180.0,bottom
IC1,AH1902-Z-7,AH1902Z7,137.4394,-89.5548,0.0,bottom
IC2,AH1902-Z-7,AH1902Z7,187.4774,-89.4868,0.0,bottom
IC3,AH1902-Z-7,AH1902Z7,137.4394,-139.3388,0.0,bottom
IC4,AH1902-Z-7,AH1902Z7,187.4774,-139.3698,0.0,bottom
J1,Conn_02x04_Top_Bottom,PinHeader_2x04_P2.54mm_Vertical_SMD,169.418,-104.267,180.0,bottom
J2,Conn_02x04_Top_Bottom,PinHeader_2x04_P2.54mm_Vertical_SMD,158.2674,-118.237,0.0,bottom
J3,Conn_02x04_Top_Bottom,PinHeader_2x04_P2.54mm_Vertical_SMD,149.9616,-56.0324,180.0,bottom
Q1,AO3400A,SOT-23,113.0808,-66.1542,90.0,bottom
Q2,AO3400A,SOT-23,113.0808,-91.1542,90.0,bottom
Q3,AO3400A,SOT-23,113.0808,-116.1542,90.0,bottom
Q4,AO3400A,SOT-23,113.0808,-141.1542,90.0,bottom
Q5,AO3401A,SOT-23,101.9302,-72.263,-90.0,bottom
Q6,AO3401A,SOT-23,126.873,-72.1978,-90.0,bottom
Q7,AO3401A,SOT-23,151.9682,-72.301,-90.0,bottom
Q8,AO3401A,SOT-23,176.6824,-71.9136,-90.0,bottom
Q9,AO3400A,SOT-23,112.522,-146.7358,-90.0,bottom
Q10,AO3400A,SOT-23,137.5664,-146.5834,-90.0,bottom
Q11,AO3400A,SOT-23,162.5092,-146.685,-90.0,bottom
Q12,AO3400A,SOT-23,187.4774,-146.304,-90.0,bottom
Q13,AO3401A,SOT-23,190.9106,-62.3146,180.0,bottom
Q14,AO3401A,SOT-23,191.317,-87.3146,180.0,bottom
Q15,AO3401A,SOT-23,190.9106,-112.3146,180.0,bottom
Q16,AO3401A,SOT-23,191.444,-137.3146,180.0,bottom
R1,10K,R_0603_1608Metric,101.8432,-69.534,180.0,bottom
R2,10K,R_0603_1608Metric,126.913,-69.4498,180.0,bottom
R3,10K,R_0603_1608Metric,151.9452,-69.534,180.0,bottom
R4,10K,R_0603_1608Metric,176.6726,-69.1784,180.0,bottom
R5,10K,R_0603_1608Metric,193.6496,-62.3316,90.0,bottom
R6,10K,R_0603_1608Metric,194.056,-87.4136,90.0,bottom
R7,10K,R_0603_1608Metric,193.6496,-112.3696,90.0,bottom
R8,10K,R_0603_1608Metric,194.183,-137.2616,90.0,bottom
U1,74HC595,SO16,125.476,-99.629,0.0,bottom
U2,74HC595,SO16,175.1076,-124.8766,180.0,bottom
U3,74HC165,SO-16,150.6728,-98.7044,180.0,bottom
